iter	Passed	Remaining
0	0	92
1	1	91
2	2	93
3	3	90
4	4	93
5	5	92
6	6	91
7	8	92
8	9	91
9	10	91
10	11	92
11	12	92
12	14	94
13	15	94
14	16	94
15	17	94
16	19	93
17	20	91
18	21	91
19	22	89
20	23	88
21	24	86
22	25	85
23	26	83
24	27	82
25	28	81
26	29	80
27	31	80
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	71
35	40	71
36	41	69
37	42	69
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	65	43
60	66	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	90	19
82	90	18
83	91	17
84	92	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
